gnss_lat,gnss_lon,GPS ALTITUDE (m),true_velocity_kmh,GPS ACCURACY (m),GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE,timestamp,DATE (YYYY-MO-DD HH-MI-SS_SSS),acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z,MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION (Azimuth) (Â°),ORIENTATION (Pitch) (Â°),ORIENTATION (Roll ) (Â°),true_velocity,gnss_status,true_lat,true_lon
52.403138493150685,-1.5078252694063927,148.79,,4,328.8,23 / 26,102921,2019-09-08 10:09:29:545,0.7675,-0.4976,9.6143,-0.0008,0.0012,9.8066,-0.0178,-0.0007,-0.0242,-10.94,-28.31,6.5,343.76,-83.7,-134.84,2.309497716894977,1.0,52.403138493150685,-1.5078252694063927
52.40313883561644,-1.5078254657534247,148.79,,4,328.8,23 / 26,103021,2019-09-08 10:09:29:645,0.2935,-0.0665,10.0037,-0.0016,0.003,9.8066,0.0262,0.0116,-0.0026,-10.87,-28.62,6.88,343.55,-83.72,-134.88,2.297945205479452,1.0,52.40313883561644,-1.5078254657534247
52.40313917808219,-1.5078256621004567,148.79,,4,328.8,23 / 26,103121,2019-09-08 10:09:29:745,1.1693,-0.6001,9.8534,0.0038,-0.0055,9.8066,-0.0127,0.0101,-0.0179,-11.37,-28.0,6.94,343.48,-83.7,-135.06,2.2863926940639265,1.0,52.40313917808219,-1.5078256621004567
52.403139520547946,-1.5078258584474886,148.79,,4,328.8,23 / 26,103222,2019-09-08 10:09:29:846,1.0827,-0.2627,10.0432,0.0029,-0.0005,9.8066,-0.0053,0.044,-0.0176,-10.87,-28.37,7.44,342.95,-83.64,-135.42,2.2748401826484015,1.0,52.403139520547946,-1.5078258584474886
52.4031398630137,-1.5078260547945206,148.79,,4,328.8,23 / 26,103321,2019-09-08 10:09:29:945,1.185,-0.6274,9.965,0.0076,-0.0028,9.8066,0.0063,0.0384,-0.0076,-10.87,-28.25,7.25,341.79,-83.58,-136.26,2.2632876712328764,1.0,52.4031398630137,-1.5078260547945206
52.40314020547945,-1.5078262511415526,148.79,,4,328.8,23 / 26,103421,2019-09-08 10:09:30:045,2.2393,-1.1508,9.6652,0.0113,-0.0031,9.8066,0.0063,0.0252,-0.0029,-11.31,-28.5,7.44,340.83,-83.52,-136.96,2.2517351598173514,1.0,52.40314020547945,-1.5078262511415526
52.403140547945206,-1.5078264474885845,148.79,,4,328.8,23 / 26,103522,2019-09-08 10:09:30:146,1.1628,-0.3068,10.0604,0.0066,-0.0003,9.8066,0.0155,0.0415,-0.0345,-10.87,-28.12,7.06,339.76,-83.45,-137.73,2.2401826484018263,1.0,52.403140547945206,-1.5078264474885845
52.40314089041096,-1.5078266438356165,148.79,,4,328.8,23 / 26,103622,2019-09-08 10:09:30:246,1.4512,-0.7178,9.9483,0.0182,-0.008,9.8066,0.0185,0.0684,-0.0233,-10.75,-28.37,7.44,337.82,-83.33,-139.11,2.2286301369863013,1.0,52.40314089041096,-1.5078266438356165
52.40314123287671,-1.5078268401826485,148.79,,4,328.8,23 / 26,103721,2019-09-08 10:09:30:345,1.8391,-0.5145,9.9784,0.0055,0.0026,9.8066,0.0572,0.0681,0.0065,-10.69,-28.0,7.25,336.78,-83.3,-139.87,2.2170776255707763,1.0,52.40314123287671,-1.5078268401826485
52.40314157534247,-1.5078270365296804,148.79,,4,328.8,23 / 26,103821,2019-09-08 10:09:30:445,1.7849,-0.331,9.9104,0.0025,-0.0005,9.8066,0.0043,0.1047,-0.0334,-10.56,-28.5,7.81,340.53,-83.25,-140.75,2.2055251141552508,1.0,52.40314157534247,-1.5078270365296804
52.40314191780822,-1.5078272328767124,148.79,,4,328.8,23 / 26,103922,2019-09-08 10:09:30:546,1.2777,-0.3713,9.8099,0.0012,0.0036,9.8065,0.031,0.1155,-0.0117,-10.56,-27.94,8.63,344.21,-83.29,-141.38,2.1939726027397257,1.0,52.40314191780822,-1.5078272328767124
