gnss_lat,gnss_lon,GPS ALTITUDE (m),true_velocity_kmh,GPS ACCURACY (m),GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE,timestamp,DATE (YYYY-MO-DD HH-MI-SS_SSS),acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyro_z,gyro_x,gyro_y,MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION (Yaw) (Â°),ORIENTATION (Pitch) (Â°),ORIENTATION (Roll ) (Â°),true_velocity,gnss_status,true_lat,true_lon
52.40251310810811,-1.5010108018018018,143.57,,3.0,159.65,18 / 19,104227,2019-09-07 09:15:09:506,-3.3409,-4.5415,9.881,-0.0032,-0.0095,9.8066,-0.025,-0.6418,0.0484,-31.0,-31.87,15.75,333.93,-86.12,-141.75,7.11990990990991,1.0,52.40251310810811,-1.5010108018018018
52.40251245945946,-1.5010103243243242,143.57,,3.0,159.65,18 / 19,104327,2019-09-07 09:15:09:606,-3.3602,-3.0281,10.1602,-0.0044,0.0069,9.8065,-0.0281,-0.6354,0.0059,-30.37,-31.31,16.63,337.23,-86.09,-140.9,7.123783783783784,1.0,52.40251245945946,-1.5010103243243242
52.402511810810815,-1.501009846846847,143.57,,3.0,159.65,18 / 19,104427,2019-09-07 09:15:09:706,-3.2117,-4.3988,10.3851,0.0105,0.0003,9.8066,-0.092,-0.7161,0.032,-30.62,-31.56,18.94,338.11,-86.03,-142.05,7.127657657657657,1.0,52.402511810810815,-1.501009846846847
52.40251116216216,-1.5010093693693694,143.57,,3.0,159.65,18 / 19,104528,2019-09-07 09:15:09:807,-2.8315,-3.8086,9.6953,0.0114,0.0006,9.8066,-0.0315,-0.6857,0.0282,-29.69,-31.56,19.75,339.64,-86.08,-142.79,7.1315315315315315,1.0,52.40251116216216,-1.5010093693693694
52.40251051351351,-1.501008891891892,143.57,,3.0,159.65,18 / 19,104627,2019-09-07 09:15:09:906,-2.5469,-3.878,9.628,-0.0147,0.0081,9.8066,-0.0353,-0.6138,0.0021,-29.87,-30.75,20.38,339.71,-86.02,-142.75,7.135405405405406,1.0,52.40251051351351,-1.501008891891892
52.40250986486487,-1.5010084144144145,143.57,,3.0,159.65,18 / 19,104727,2019-09-07 09:15:10:006,-4.169,-4.0858,10.2617,-0.0073,0.0075,9.8066,-0.0849,-0.6736,0.0928,-29.56,-31.06,22.19,343.45,-86.13,-141.85,7.139279279279279,1.0,52.40250986486487,-1.5010084144144145
52.40250921621622,-1.501007936936937,143.57,,3.0,159.65,18 / 19,104827,2019-09-07 09:15:10:106,-4.7925,-3.8751,10.1488,0.0004,-0.014,9.8066,-0.1329,-0.7507,0.0777,-28.19,-31.37,22.75,347.9,-86.15,-140.78,7.143153153153153,1.0,52.40250921621622,-1.501007936936937
52.402508567567565,-1.5010074594594596,143.57,,3.0,159.65,18 / 19,104927,2019-09-07 09:15:10:206,-3.7919,-3.5887,10.1703,-0.0047,-0.0137,9.8066,-0.0805,-0.6665,0.0062,-28.12,-31.31,24.13,351.65,-86.13,-138.46,7.147027027027027,1.0,52.402508567567565,-1.5010074594594596
52.40250791891892,-1.501006981981982,143.57,,3.0,159.65,18 / 19,105027,2019-09-07 09:15:10:306,-3.2867,-2.9273,9.5565,-0.0079,-0.0002,9.8066,0.0113,-0.7217,0.0969,-27.0,-31.56,24.81,353.85,-86.18,-138.58,7.150900900900901,1.0,52.40250791891892,-1.501006981981982
52.40250727027027,-1.5010065045045045,143.57,,3.0,159.65,18 / 19,105127,2019-09-07 09:15:10:406,-3.9249,-3.138,9.8109,-0.0057,-0.0008,9.8066,0.0323,-0.6574,0.043,-27.19,-31.44,25.81,355.61,-86.03,-138.05,7.154774774774775,1.0,52.40250727027027,-1.5010065045045045
52.40250662162162,-1.5010060270270271,143.57,,3.0,159.65,18 / 19,105227,2019-09-07 09:15:10:506,-3.5091,-3.845,9.4573,0.0104,-0.016,9.8066,-0.08,-0.6843,0.0523,-25.37,-30.62,27.19,358.87,-85.85,-138.26,7.158648648648649,1.0,52.40250662162162,-1.5010060270270271
52.402505972972975,-1.5010055495495496,143.57,,3.0,159.65,18 / 19,105327,2019-09-07 09:15:10:606,-4.9926,-3.3906,10.5083,-0.0016,-0.0166,9.8065,-0.0376,-0.7138,0.0764,-24.56,-31.37,28.75,0.62,-85.67,-138.66,7.162522522522522,1.0,52.402505972972975,-1.5010055495495496
52.40250532432432,-1.501005072072072,143.57,,3.0,159.65,18 / 19,105427,2019-09-07 09:15:10:706,-3.6926,-1.4409,10.1886,0.0007,0.0181,9.8066,0.015,-0.7157,0.0206,-24.12,-31.19,28.81,1.68,-85.63,-138.82,7.166396396396396,1.0,52.40250532432432,-1.501005072072072
52.40250467567568,-1.5010045945945947,143.57,,3.0,159.65,18 / 19,105527,2019-09-07 09:15:10:806,-3.7291,-2.4168,9.9071,-0.0115,0.0024,9.8066,0.0527,-0.6817,0.0166,-22.56,-30.62,29.56,3.91,-85.69,-138.87,7.1702702702702705,1.0,52.40250467567568,-1.5010045945945947
52.40250402702703,-1.5010041171171171,143.57,,3.0,159.65,18 / 19,105627,2019-09-07 09:15:10:906,-4.8978,-2.2158,9.4819,0.0111,-0.0078,9.8066,-0.0371,-0.7419,0.0767,-21.75,-31.94,30.56,5.28,-85.52,-139.72,7.174144144144145,1.0,52.40250402702703,-1.5010041171171171
52.40250337837838,-1.5010036396396396,143.57,,3.0,159.65,18 / 19,105728,2019-09-07 09:15:11:007,-4.223,-1.2348,10.0873,0.0076,-0.002,9.8066,-0.0811,-0.6797,0.0915,-20.94,-30.44,30.94,6.49,-85.47,-139.82,7.178018018018018,1.0,52.40250337837838,-1.5010036396396396
52.40250272972973,-1.5010031621621622,143.57,,3.0,159.65,18 / 19,105827,2019-09-07 09:15:11:106,-4.9961,-2.0589,10.309,0.0047,-0.0024,9.8066,-0.0324,-0.601,0.0668,-20.0,-31.69,31.75,8.17,-85.42,-140.4,7.181891891891892,1.0,52.40250272972973,-1.5010031621621622
52.40250208108108,-1.5010026846846847,143.57,,3.0,159.65,18 / 19,105928,2019-09-07 09:15:11:207,-3.5956,-1.0795,10.1171,0.0014,-0.0086,9.8066,-0.0233,-0.6447,0.0374,-19.37,-31.44,32.0,8.49,-85.38,-141.4,7.185765765765766,1.0,52.40250208108108,-1.5010026846846847
52.40250143243243,-1.5010022072072071,143.57,,3.0,159.65,18 / 19,106027,2019-09-07 09:15:11:306,-4.7207,-1.918,9.297,0.0114,-0.0236,9.8066,-0.0903,-0.6506,0.0616,-18.0,-31.75,32.75,10.6,-85.29,-141.57,7.18963963963964,1.0,52.40250143243243,-1.5010022072072071
52.402500783783786,-1.5010017297297298,143.57,,3.0,159.65,18 / 19,106127,2019-09-07 09:15:11:406,-5.591,-1.9705,10.4676,0.0105,-0.0282,9.8065,-0.0892,-0.7045,0.1167,-16.56,-31.44,33.19,10.11,-85.04,-143.4,7.193513513513514,1.0,52.402500783783786,-1.5010017297297298
52.402500135135135,-1.5010012522522522,143.57,,3.0,159.65,20 / 22,106227,2019-09-07 09:15:11:506,-4.5415,-1.0798,9.5196,-0.0019,0.0031,9.8066,-0.0226,-0.6618,0.0583,-14.94,-31.19,33.25,13.28,-85.02,-143.3,7.197387387387388,1.0,52.402500135135135,-1.5010012522522522
52.402499486486484,-1.5010007747747747,143.57,,3.0,159.65,20 / 22,106327,2019-09-07 09:15:11:606,-4.9952,-0.9358,10.5672,-0.0046,-0.0128,9.8066,-0.0782,-0.691,0.0805,-14.62,-31.75,33.5,14.39,-84.83,-142.96,7.201261261261261,1.0,52.402499486486484,-1.5010007747747747
52.40249883783784,-1.5010002972972973,143.57,,3.0,159.65,20 / 22,106427,2019-09-07 09:15:11:706,-5.3807,-1.3175,9.8956,-0.0038,-0.0104,9.8066,-0.0723,-0.6784,0.0744,-12.94,-32.06,33.06,17.57,-84.73,-142.43,7.205135135135135,1.0,52.40249883783784,-1.5010002972972973
52.40249818918919,-1.5009998198198198,143.57,,3.0,159.65,20 / 22,106527,2019-09-07 09:15:11:806,-5.5638,-1.0726,9.6661,-0.0156,-0.0031,9.8066,0.0106,-0.6311,0.0747,-12.62,-31.87,33.75,17.86,-84.72,-142.71,7.2090090090090095,1.0,52.40249818918919,-1.5009998198198198
52.40249754054054,-1.5009993423423424,143.57,,3.0,159.65,20 / 22,106627,2019-09-07 09:15:11:906,-4.8166,-1.0269,9.8515,-0.0043,-0.0029,9.8066,0.0027,-0.6566,0.0662,-10.56,-32.06,32.75,22.09,-84.6,-141.43,7.212882882882883,1.0,52.40249754054054,-1.5009993423423424
52.40249689189189,-1.500998864864865,143.57,,3.0,159.65,20 / 22,106727,2019-09-07 09:15:12:006,-4.7282,-0.5724,9.5256,-0.0076,0.0035,9.8066,-0.0752,-0.7006,0.0802,-9.75,-32.0,31.88,24.2,-84.54,-140.68,7.216756756756757,1.0,52.40249689189189,-1.500998864864865
52.40249624324324,-1.5009983873873873,143.57,,3.0,159.65,20 / 22,106827,2019-09-07 09:15:12:106,-5.7512,-0.9089,10.2361,0.0055,0.0077,9.8066,-0.0754,-0.739,0.0561,-9.19,-32.19,31.44,26.37,-84.56,-139.93,7.220630630630631,1.0,52.40249624324324,-1.5009983873873873
52.4024955945946,-1.50099790990991,143.57,,3.0,159.65,20 / 22,106927,2019-09-07 09:15:12:206,-4.6583,-0.9127,9.6597,0.019,-0.0067,9.8065,-0.0279,-0.6209,0.0311,-7.56,-32.5,32.0,27.33,-84.69,-141.1,7.224504504504504,1.0,52.4024955945946,-1.50099790990991
52.402494945945946,-1.5009974324324324,143.57,,3.0,159.65,20 / 22,107027,2019-09-07 09:15:12:306,-5.4144,-1.5941,10.4381,-0.0205,-0.0198,9.8066,0.0103,-0.6578,0.1298,-6.81,-32.5,31.0,27.37,-84.76,-142.43,7.228378378378379,1.0,52.402494945945946,-1.5009974324324324
52.402494297297295,-1.5009969549549549,143.57,,3.0,159.65,18 / 22,107127,2019-09-07 09:15:12:406,-4.7475,0.459,10.3428,0.0065,0.0143,9.8066,-0.0072,-0.7115,0.0205,-5.87,-32.62,30.06,30.88,-84.51,-140.97,7.232252252252253,1.0,52.402494297297295,-1.5009969549549549
52.40249364864865,-1.5009964774774776,143.57,,3.0,159.65,18 / 22,107227,2019-09-07 09:15:12:506,-4.9213,-0.0286,9.6291,0.008,0.0108,9.8066,-0.0056,-0.6859,0.0266,-4.5,-33.12,30.0,33.56,-84.51,-142.28,7.236126126126126,1.0,52.40249364864865,-1.5009964774774776
52.402493,-1.500996,144.44,7.24,3.0,206.67,18 / 22,107327,2019-09-07 09:15:12:606,-6.2669,0.9145,10.4199,0.0044,-0.0163,9.8065,0.0626,-0.6438,0.1143,-4.44,-32.81,29.25,32.55,-84.44,-143.09,7.24,1.0,52.402493,-1.500996
