gnss_lat,gnss_lon,GPS ALTITUDE (m),true_velocity_kmh,GPS ACCURACY (m),GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE,timestamp,DATE (YYYY-MO-DD HH-MI-SS_SSS),acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z,MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION (Azimuth) (Â°),ORIENTATION (Pitch) (Â°),ORIENTATION (Roll ) (Â°),true_velocity,gnss_status,true_lat,true_lon
52.40290426666667,-1.5565266,164.83,,2,183.79,28 / 28,100011,2019-09-08 12:05:31:741,-0.0461,1.0029,9.8887,-0.0016,0.0051,9.8066,0.0125,-0.0206,0.0026,-10.31,-29.56,34.13,350.3,-81.1,-171.93,3.2199999999999998,1.0,52.40290426666667,-1.5565266
52.40290235555556,-1.5565271333333333,164.83,,2,183.79,28 / 28,100111,2019-09-08 12:05:31:841,-0.0037,0.6871,9.8292,-0.0023,0.0065,9.8066,0.0042,-0.0154,0.0,-8.94,-29.06,35.63,353.33,-81.21,-171.76,3.143333333333333,1.0,52.40290235555556,-1.5565271333333333
52.40290044444445,-1.5565276666666665,164.83,,2,183.79,28 / 28,100213,2019-09-08 12:05:31:943,0.0011,0.6329,9.9174,-0.0035,0.0063,9.8066,0.006,-0.0048,0.0001,-9.0,-28.81,36.5,354.06,-81.32,-171.52,3.0666666666666664,1.0,52.40290044444445,-1.5565276666666665
52.402898533333335,-1.5565282,164.83,,2,183.79,28 / 28,100311,2019-09-08 12:05:32:041,0.1242,0.4649,9.8035,0.0003,0.0038,9.8066,0.0171,-0.0078,0.0042,-8.87,-28.81,37.81,354.61,-81.37,-171.4,2.9899999999999998,1.0,52.402898533333335,-1.5565282
52.40289662222222,-1.5565287333333333,164.83,,2,183.79,28 / 28,100410,2019-09-08 12:05:32:140,0.0043,0.5531,9.9266,-0.001,0.0021,9.8066,-0.0167,0.003,-0.0047,-9.31,-28.37,38.44,354.65,-81.45,-171.4,2.913333333333333,1.0,52.40289662222222,-1.5565287333333333
52.40289471111112,-1.5565292666666666,164.83,,2,183.79,28 / 28,100511,2019-09-08 12:05:32:241,0.0098,0.5646,9.7913,-0.0021,0.0069,9.8066,-0.0118,-0.0066,0.0083,-9.94,-28.94,39.0,353.64,-81.54,-171.24,2.8366666666666664,1.0,52.40289471111112,-1.5565292666666666
52.402892800000004,-1.5565297999999999,164.83,,2,183.79,28 / 28,100611,2019-09-08 12:05:32:341,-0.0495,0.6189,9.9233,-0.0026,0.008,9.8066,0.0313,-0.0035,-0.0057,-10.81,-29.31,39.56,352.69,-81.64,-171.12,2.76,1.0,52.402892800000004,-1.5565297999999999
52.40289088888889,-1.5565303333333333,164.83,,2,183.79,28 / 28,100710,2019-09-08 12:05:32:440,0.0341,0.3068,9.7907,-0.0028,0.0053,9.8066,-0.0073,0.0045,0.0045,-11.56,-29.87,39.13,350.78,-81.72,-171.05,2.683333333333333,1.0,52.40289088888889,-1.5565303333333333
52.40288897777778,-1.5565308666666666,164.83,,2,183.79,28 / 28,100811,2019-09-08 12:05:32:541,0.1003,0.3447,9.9469,-0.0004,0.0045,9.8066,0.0059,-0.008,0.0008,-11.94,-29.69,39.44,350.94,-81.82,-170.92,2.6066666666666665,1.0,52.40288897777778,-1.5565308666666666
52.40288706666667,-1.5565314,164.83,,2,183.79,28 / 28,100911,2019-09-08 12:05:32:641,0.1515,0.0139,9.8341,-0.0026,0.0056,9.8066,0.02,-0.0062,-0.0071,-11.94,-29.75,38.81,351.01,-81.88,-170.87,2.53,1.0,52.40288706666667,-1.5565314
